	BL001	BL007	BL008	BL013	BL019	BL020	BL030	BL031	BL032	BL033	BL034	BL035	BL036	BL037	BL038	BL040	BL041	BL043	BL048	BL049	BL051	BL052	BL055	BL057	BL059	BL060	BL061	BL065	BL067	BL069	BL073	BL074	BL075	BL085	BL086	BL092	BL093	BL099	BL100	BL103	BL107	BL108	BL109	BL110	BL111	BL112	BL114	BL115	BL116	BL117	BL118	BL120	BL121	BL122	BL124	BL126	BL128	BL130
AKR1B1	-0.4143306025	-0.591980357	-0.407305101999999	0.355728356	0.689196762	2.629661628	-0.992115899	0.758944542	-0.036268933000001	-0.125335153	0.762110195	-0.844544034000001	1.49164176	0.562335016	0.681154694	-2.200524933	0.631854525000001	0.0458545930000009	-0.607931543000001	0.0994161859999996	0.84282961	2.022908818	-0.313760661	1.312347589	0.424634134999999	-0.406579331	-0.457896407999999	0.0233635419999998	-0.119319508999999	-1.81773917	0.332202254000001	-0.108564831000001	-0.749239068999999	0.937926321	-0.361990628	-0.854070812999999	-0.0233635419999998	-0.311967085	1.165421852	-1.167110729	-0.575630204	1.560414173	-0.908109678	-0.592756407	1.5460562125	0.772032321000001	-0.100075221	-0.457732542000001	2.445701542	0.686702991000001	0.489289724	-0.0873046619999998	-0.401315542	0.903053236	1.542398731	-0.0501899320000008	1.124830392	2.446254919
KRT23	0.372126279	0.0154703725000003	0.0313082205000006	-0.1103690845	-0.2125294745	0.8176961355	-0.1305381355	0.00562033849999999	-0.2104042885	-0.1657945425	0.0755457205000001	-0.218487203500001	-0.0327615764999996	0.6711965255	0.2409791355	0.0396843555000004	0.949002373500001	0.1133457625	-0.0772463215000005	-0.0267860175000001	-0.1889464075	1.3607327625	-0.00562033849999999	0.0795830175000001	-0.1938348985	-0.0435279914999995	0.252669779500001	0.00814079650000021	-0.318823678499999	-0.0816862714999997	0.0768251014999999	0.00676845749999977	0.0401379485	-0.0885034065000001	-0.0229458815000001	-0.1775562195	0.3615139495	0.0668343305000008	-0.1683562205	0.2267946605	2.2789697625	-0.1140699665	0.4045324915	-0.1457018475	-0.0348329750000005	-0.1176817545	-0.1118993735	-0.0752189145000006	0.231635567500001	-0.1223598725	0.0241754704999995	-0.3100298985	0.9402563395	-0.0555748475	0.915050982499999	-0.0942346264999996	0.3462995415	1.1466311355
GAS6	-0.524580974	0.5686528225	-0.3086107535	0.211404975499999	-0.3402530255	1.4609409575	2.1280516025	1.1148579575	-0.0906760935000004	0.0747692125000001	0.3006433735	-0.2717042455	1.6497546695	-0.421835788500001	-0.1774807375	-0.9634265335	0.0153487545000002	-0.355093686500001	1.5859160255	-0.5656195505	-0.5263121445	0.0999179924999996	-0.2964389905	-0.6175046515	1.1447838565	-0.199361796499999	-0.8628780425	0.2405348395	1.2897644325	-0.1581929745	1.4267182125	-0.5518308895	-0.2364684325	0.193418584499999	1.3597101615	-0.4864771775	0.3209192465	0.3470428725	-0.7805109315	-0.5276042285	0.6178921785	0.7359561095	1.1364546695	-0.9422696605	-0.444409864	0.1762261605	0.4383892965	-0.304700804500001	-0.1168217375	1.5589540515	1.4334688695	1.0473116525	-0.0278836345000006	-0.0898373305000004	0.848757770499999	2.4397934835	-0.0153487545000002	-0.9293079405
ANPEP	-0.264466661	-0.0874511444999997	0.2080574495	-0.0618885675	-0.000320550500000127	0.0715880595000002	0.279734991499999	0.0167949574999997	-0.1540604835	0.0752022625	1.0058319835	-0.0720833475	0.393764194500001	-0.1445306865	-0.0339742285000004	0.0200612625000001	-0.0720833475	0.1554633645	-0.149313686500001	0.0515274824999996	1.5157143645	-0.0720833475	-0.0746594485000007	-0.1666983475	1.1750366355	0.2201870515	0.0111194994999999	-0.1395569575	0.0496405845000001	0.0206104315000002	0.0136644995000004	-0.192853898500001	-0.1347093305	0.0492827034999999	-0.0945583984999998	-0.0479757365000002	-0.1335962795	0.6504673475	0.7103356695	-0.1351825685	-0.2847182125	-0.1827087035	-0.1171222795	-0.0580908225000001	0.0969605929999999	-0.0173489244999998	0.000320550500000127	-0.00474649150000017	0.1421033815	0.2489565255	-0.1833894875	0.5509682795	0.294036263499999	-0.0209648225000003	0.257745482499999	0.5510012295	0.2640590925	-0.120407585499999
OSGIN1	0.135326461750001	0.757952707750001	-0.25420113925	0.0403239537500002	0.03713166575	0.63593184375	0.15390945375	0.33186678375	-0.0570464112499995	0.20281701275	0.114251996250001	0.0642291742499999	0.0291825382500002	-0.0524429447500006	-0.171871504250001	0.0721700977500004	0.178808928750001	0.00838431775000048	0.33793380125	-0.14402961475	0.00747397024999996	-0.190576910749999	0.0285105302499997	0.0875372842500002	0.14312278425	0.0501841447500007	0.398822377250001	0.14378875025	-0.12971718225	-0.21476951275	-0.11049884275	-0.10848875025	-0.0431671482499998	0.11370451275	0.22846599575	0.197246733750001	0.43369161075	-0.23900441525	-0.192817495249999	-0.15638261425	-0.39370576725	-0.111513818249999	-0.0361264447499994	-0.14834580525	-0.10105241925	-0.14985559775	-0.23995423725	-0.18221776625	-0.144903639749999	-0.0128596737499991	-0.10105241925	-0.0252743092499998	-0.11799694425	-0.0613597672499995	0.563003326249999	0.50387469975	-0.00747397024999996	0.548307089250001
SLC39A2	-0.0257125245000003	0.0647018480000003	1.95188284	0.260144704	0.119558619	-0.0461127370000005	0.120182552	0.00132880499999999	-0.0398780250000002	-0.148618296	0.034045602	-0.00394117700000063	-0.0267639229999999	-0.092482822	-0.198661889	0.109203924	0.206848687	0.0266426360000001	0.198114425	-0.0440900590000002	-0.03007033	0.772561603	0.130756518	-0.0423211600000002	-0.014353753	-0.0478964739999999	-0.0243705849999998	0.271869941999999	1.780781873	0.0501252290000007	0.354124568	-0.0318147880000001	-0.0113481950000001	-0.0628743810000003	-0.0564251520000001	-0.0153030410000001	1.820228908	-0.0531342449999999	0.0024357040000007	0.260144704	2.9994315	0.00930199200000015	0.132828891	0.136594535	0.0239908314999999	0.0443422550000001	-0.0414834830000004	-0.117997160000001	-0.00132880499999999	-0.0691871519999996	-0.0455428420000006	-0.157330991	1.010315467	0.0616049069999995	-0.127425974	0.117087213	-0.125951076	-0.0185888899999993
ID4	0.0112097162499998	0.0136297077499998	-0.0904285972499999	0.144376182749999	0.0854682327499994	-0.23663724125	-0.182874665250001	-0.0841882422499998	0.18071045275	-0.330764529250001	-0.15558274125	0.197327436749999	1.18130148775	0.11132663975	0.170852825749999	-0.0936360382500006	-0.0112097162499998	-0.15300136025	0.0460054537499994	-0.227207479250001	-0.13528473325	-0.172872699250001	1.22882597875	-0.19651819025	-0.223174275250001	0.21386208875	0.84971353775	-0.0193013942500002	-0.20561217425	0.61119650375	0.78007163975	0.064896588749999	0.31574914775	-0.209569987250001	0.0165389447499997	-0.198667732250001	-0.31179822425	0.210361317749999	0.0693667587500002	-0.12291049625	-0.47061937725	0.29796597775	-0.100275716250001	-0.24992971625	-0.026561783750001	4.18164202775	0.0520673007499992	-0.023990512250001	-0.09241219925	-0.18554400425	1.21256380575	0.25619070675	0.105479978749999	0.29683372375	-0.13042480125	0.56070526775	-0.15069814025	0.57879984275
KISS1	-0.0624236270000007	0.2969994495	0.00431497550000026	0.0139673485	0.1358089245	0.2656048735	-0.134084177500001	-0.2116277875	-0.0457501605000004	-0.1584850925	-0.0457501605000004	0.401306551499999	-0.2373403895	-0.155529728500001	-0.2278720585	0.7067693815	0.5980966705	-0.1396057025	-0.3240107365	-0.1038224825	-0.0413495505000001	2.2257851105	0.616759856499999	0.0562022294999998	-0.0992300585000003	0.4017310095	0.3308353135	-0.0681441605000006	1.2883022625	-0.0457501605000004	-0.114196296500001	0.605813347499999	0.227244161499999	-0.0457501605000004	-0.0457501605000004	0.5528865685	-0.0457501605000004	-0.1678022625	0.6078721785	0.3802112805	-0.0405573985000003	0.00113366950000016	-0.0298087705000003	-0.116764050500001	-0.111481338	-0.00113366950000016	-0.183120974500001	-0.122346956500001	0.897444788499999	0.2415537465	0.0465036494999995	-0.1736389065	0.6418764335	0.0426062624999992	1.3534977375	0.0578983144999996	2.4659006695	0.2784421275
KPNA7	-0.136751653	0.0832263044999997	-0.1181699485	0.0240979835000004	-0.0384406104999999	0.0893983395000002	-0.0385253894999997	0.0779343385	-0.2577659495	0.00594335549999991	0.0153238725000002	0.2039177295	0.0349902715000003	0.0399286774999994	-0.201723288500001	0.0447223214999997	-0.0106683044999998	-0.0141447114999997	-0.0389436775000003	0.000725186499999975	-0.1257970175	-0.1225245085	0.1387434745	-0.0329683724999996	0.0685578054999998	-0.0953449914999998	-0.0165917804999993	0.0867318305000002	-0.0888160854999991	0.1893966265	-0.0200050334999999	-0.0318710174999999	0.00553635549999987	0.00521623749999955	0.1244857285	-0.000725186499999975	0.1585038985	0.0247916865	-0.0358974914999997	0.1706137625	-0.2713163395	-0.0249418814999998	-0.1157268645	0.1846394405	0.0456881440000001	0.0310984485000003	0.0182322034999998	0.0230271694999993	0.1947594405	0.0764093725000001	-0.0892787835000006	-0.0590726785000002	0.112688101499999	-0.1541461365	-0.0372205095000004	-0.0543673554999997	-0.1621172715	-0.0213333054999993
MMP1	-0.294206964	1.271880163	-0.4931630825	-0.3917620485	-0.547005405000001	-0.387709311	1.034999333	-0.134294295	1.580983808	2.3872271945	0.3320422315	-0.204778412500001	0.472296184500001	-0.0360506759999999	-0.0721499470000002	0.2263874	0.631757968500001	0.0313398834999998	0.458953993999999	-0.2283163205	1.2233295355	0.902941798999999	1.299620367	-0.0814707645000001	-0.1632348325	-0.1309995825	-0.2262630235	0.912282477	0.00175788750000061	-0.2058692865	-0.410703612	0.0714929929999992	-0.166150083	-0.2279966165	-0.378726159	-0.00175788750000061	1.05053871	0.856198154499999	-0.128485379	0.1181212645	-0.7316860235	-0.35643971	0.2771618325	-0.291322065500001	0.0685347899999997	0.0720215779999998	-0.126905998	-0.214730192500001	0.1520899765	0.149233612499999	-0.394195129000001	0.075991560999999	0.466662849999999	1.321813841	0.588493095	-0.137249633000001	0.520791764	-0.1822823965
